Attrition,Yrs_Exp,Work_Challenging,Work_Envir,Compensation,Tech_Exper
Yes,2.5,No,Low,Low,Excellent
No,2,Yes,Excellent,Excellent,Excellent
No,2.5,Yes,Excellent,Low,Excellent
Yes,2,No,Excellent,Low,Excellent
No,2,Yes,Low,Low,Low
Yes,2,No,Low,Low,Excellent
No,2,No,Excellent,Excellent,Low
Yes,2.5,No,Low,Excellent,Excellent
Yes,2,No,Excellent,Low,Excellent
Yes,3,Yes,Low,Excellent,Excellent
Yes,3.5,No,Excellent,Low,Excellent
No,3,Yes,Excellent,Excellent,Excellent
No,2,Yes,Excellent,Low,Excellent
No,2,Yes,Excellent,Excellent,Excellent
No,2.5,Yes,Low,Excellent,Low
No,2,Yes,Excellent,Excellent,Low
Yes,2.5,No,Low,Low,Excellent
No,4.5,Yes,Excellent,Excellent,Excellent
Yes,4,No,Excellent,Low,Excellent
Yes,4,Yes,Low,Excellent,Excellent
Yes,4.5,No,Low,Low,Excellent
No,4.5,No,Excellent,Excellent,Excellent
Yes,4,No,Excellent,Low,Excellent
Yes,4,No,Low,Low,Excellent
No,4.5,Yes,Excellent,Low,Excellent
No,4.5,No,Excellent,Excellent,Excellent
No,4,Yes,Excellent,Low,Excellent
Yes,4,No,Low,Low,Excellent
Yes,4.5,No,Low,Low,Excellent
No,4,No,Excellent,Low,Low
Yes,4,No,Low,Low,Excellent
Yes,4.5,No,Low,Low,Excellent
Yes,5,No,Low,Low,Excellent
No,5,Yes,Excellent,Excellent,Excellent
Yes,4.5,Yes,Low,Low,Excellent
Yes,5,Yes,Low,Low,Excellent
No,5,Yes,Excellent,Excellent,Excellent
Yes,5,No,Low,Low,Excellent
Yes,5,No,Low,Low,Excellent
Yes,5,Yes,Low,Low,Low
No,2.5,Yes,Excellent,Low,Low
Yes,2,No,Low,Low,Excellent
No,3.5,Yes,Low,Excellent,Excellent
Yes,2.5,No,Low,Low,Excellent
Yes,3,No,Excellent,Low,Excellent
No,2,Yes,Low,Excellent,Excellent
No,4,Yes,Excellent,Excellent,Excellent
No,4.5,No,Excellent,Low,Low
Yes,5,No,Excellent,Excellent,Excellent
No,5,No,Excellent,Excellent,Excellent
Yes,2,Yes,Excellent,Excellent,Excellent
No,4,Yes,Excellent,Excellent,Excellent
